name,line
Xiao," If you awake to a knife at your throat, if monsters dig their claws into you, if death comes knocking at your door, call out my name. Adeptus Xiao. I will be here when you call."
Traveler, we should rest for a bit...
Xiao, Reduced to just standing around? How absurd.
Traveler, And what about the bad guys?
Xiao, The damned will sooner die again than lay a hand on me.
Traveler, Ah itś raining again...
Xiao, Demons do not stop for the rain. Move.
Traveler," Look Xiao, itś clear now."
Xiao, The rain stopped? Hmph. I don't concern myself with the weather.
Traveler, I got startled by the rain... and thunders...
Xiao, Many mortals fear lightning... Incomprehensible. Fear of something so common.
Traveler, Lokk Xiao! It's snowing!
Xiao," Once the snow is thick enough, we can eat it."
Traveler, I want to rest a while...
Xiao, We're wasting time. Let's go.
Traveler,I'm hungry...
Xiao, Lunch... We'll go back to Wangshu Inn.
Traveler,"Itś really dark now, it got late very quickly"
Xiao, Night... When the darkness comes to envelope you. Don't stay outside.
Traveler, Is everything ok?
Xiao, I'm far from human. I can't make much of human emotions.
Traveler,"Liyue is sure changing, evreryone moves on..."
Xiao," Liyue is changing. Rapidly... Forget it, it means nothing to me."
Traveler, What about if I change too?
Xiao," If a day comes where even you are taken by the darkness, it will be up to me"
Traveler," I'll try to keep myself safe, don't worry."
Xiao, Do not fall prey to the darkness. I have no mercy.Though perhaps you can stand your ground alone.
Traveler," Oh were you sleeping, cute..."
Xiao, Who's there? Oh... You think I sleep? You have no respect for the ways of the adepti.
Traveler, Will you go to the lintern rite this year?
Xiao,The Lantern Rite? The time for humans to discard their glowing trash into the sea has returned... How childish...Though if you insist... I will go with you.
Traveler,Have you wished for something Xiao?
Xiao, Visions? Desire? Ha. Do not judge adepti by your mortal ideals. I have no desire. I just won't speak of desire to others. Do mortals not have a rule about spoken wishes never coming true? Hm? What do you mean that's not the same?
Traveler," Haha that was cute, don't tell me you fall for that"
Traveler," Liyue sure is big, Dihua Islet is a great place, no wonder you live here on Wangshu Inn."
Xiao," Dihua Islet was once deserted. Though that was many decades... no, centuries ago..."
Xiao,Can I ask... Zhongli — what does he do with his days? 
